tiempo,energia_activa,temp_celsius,hr,pandemia,month,day,weekday,sin_hour,cos_hour
2019-07-26 21:00:00,861,23.3685,84.01666667,0,7,26,4,-0.707106781,0.707106781
2019-07-26 22:00:00,827.4,22.50916667,85.85,0,7,26,4,-0.5,0.866025404
2019-07-26 23:00:00,663.6,21.87116667,87.91666667,0,7,26,4,-0.258819045,0.965925826
2019-07-27 00:00:00,768.6,21.60433333,90.18333333,0,7,27,5,0,1
2019-07-27 01:00:00,785.4,21.63233333,91.56666667,0,7,27,5,0.258819045,0.965925826
2019-07-27 02:00:00,785.4,21.09133333,92.25,0,7,27,5,0.5,0.866025404
2019-07-27 03:00:00,785.4,20.93233333,93.38333333,0,7,27,5,0.707106781,0.707106781
2019-07-27 04:00:00,785.4,20.80133333,93.66666667,0,7,27,5,0.866025404,0.5
2019-07-27 05:00:00,785.4,20.65833333,94.01666667,0,7,27,5,0.965925826,0.258819045
2019-07-27 06:00:00,739.2,20.4955,94.58333333,0,7,27,5,1,6.12E-17
2019-07-27 07:00:00,764.4,20.72983333,94.85,0,7,27,5,0.965925826,-0.258819045
2019-07-27 08:00:00,789.6,21.29416667,94.13333333,0,7,27,5,0.866025404,-0.5
2019-07-27 09:00:00,0,21.895,92.55,0,7,27,5,0.707106781,-0.707106781
2019-07-27 10:00:00,0,23.08483333,90.13333333,0,7,27,5,0.5,-0.866025404
2019-07-27 11:00:00,0,25.36583333,83.96666667,0,7,27,5,0.258819045,-0.965925826
2019-07-27 12:00:00,0,27.44783333,76.45,0,7,27,5,1.22E-16,-1
2019-07-27 13:00:00,0,28.3055,72.93333333,0,7,27,5,-0.258819045,-0.965925826
2019-07-27 14:00:00,0,29.11633333,69.81666667,0,7,27,5,-0.5,-0.866025404
2019-07-27 15:00:00,0,27.85883333,74.13333333,0,7,27,5,-0.707106781,-0.707106781
2019-07-27 16:00:00,0,28.3825,72.56666667,0,7,27,5,-0.866025404,-0.5
2019-07-27 17:00:00,0,27.44916667,73.53333333,0,7,27,5,-0.965925826,-0.258819045
2019-07-27 18:00:00,0,25.95933333,79.03333333,0,7,27,5,-1,-1.84E-16
2019-07-27 19:00:00,0,24.59316667,84,0,7,27,5,-0.965925826,0.258819045
2019-07-27 20:00:00,0,23.91366667,85.55,0,7,27,5,-0.866025404,0.5
2019-07-27 21:00:00,0,22.7965,85.13333333,0,7,27,5,-0.707106781,0.707106781
2019-07-27 22:00:00,0,21.903,87.38333333,0,7,27,5,-0.5,0.866025404
2019-07-27 23:00:00,0,21.2305,89.78333333,0,7,27,5,-0.258819045,0.965925826
2019-07-28 00:00:00,0,21.17883333,90.93333333,0,7,28,6,0,1
2019-07-28 01:00:00,0,21.31,91,0,7,28,6,0.258819045,0.965925826
2019-07-28 02:00:00,0,21.31816667,91.38333333,0,7,28,6,0.5,0.866025404
2019-07-28 03:00:00,0,21.21866667,91.85,0,7,28,6,0.707106781,0.707106781
2019-07-28 04:00:00,0,21.2145,92.28333333,0,7,28,6,0.866025404,0.5
2019-07-28 05:00:00,0,21.286,92.08333333,0,7,28,6,0.965925826,0.258819045
2019-07-28 06:00:00,0,21.34983333,91.58333333,0,7,28,6,1,6.12E-17
2019-07-28 07:00:00,0,21.46916667,91.01666667,0,7,28,6,0.965925826,-0.258819045
2019-07-28 08:00:00,0,22.4415,89.83333333,0,7,28,6,0.866025404,-0.5
2019-07-28 09:00:00,0,23.99416667,86.33333333,0,7,28,6,0.707106781,-0.707106781
2019-07-28 10:00:00,0,25.43733333,82.35,0,7,28,6,0.5,-0.866025404
2019-07-28 11:00:00,0,26.30466667,78.43333333,0,7,28,6,0.258819045,-0.965925826
2019-07-28 12:00:00,0,27.57633333,75.31666667,0,7,28,6,1.22E-16,-1
2019-07-28 13:00:00,0,28.1615,72.63333333,0,7,28,6,-0.258819045,-0.965925826
2019-07-28 14:00:00,0,28.44483333,71.51666667,0,7,28,6,-0.5,-0.866025404
2019-07-28 15:00:00,0,27.04683333,75.13333333,0,7,28,6,-0.707106781,-0.707106781
2019-07-28 16:00:00,0,27.19,75.2,0,7,28,6,-0.866025404,-0.5
2019-07-28 17:00:00,0,26.61816667,76.53333333,0,7,28,6,-0.965925826,-0.258819045
2019-07-28 18:00:00,0,25.22283333,81.2,0,7,28,6,-1,-1.84E-16
2019-07-28 19:00:00,0,24.6895,84.38333333,0,7,28,6,-0.965925826,0.258819045
2019-07-28 20:00:00,0,23.92983333,83.63333333,0,7,28,6,-0.866025404,0.5
2019-07-28 21:00:00,0,22.89633333,85.21666667,0,7,28,6,-0.707106781,0.707106781
2019-07-28 22:00:00,0,21.95116667,87.2,0,7,28,6,-0.5,0.866025404
2019-07-28 23:00:00,0,21.51683333,89.71666667,0,7,28,6,-0.258819045,0.965925826
2019-07-29 00:00:00,0,21.5925,90.46666667,0,7,29,0,0,1
2019-07-29 01:00:00,0,21.521,91.15,0,7,29,0,0.258819045,0.965925826
2019-07-29 02:00:00,0,21.28616667,92.18333333,0,7,29,0,0.5,0.866025404
2019-07-29 03:00:00,0,21.115,93.01666667,0,7,29,0,0.707106781,0.707106781
2019-07-29 04:00:00,0,21.0715,93.43333333,0,7,29,0,0.866025404,0.5
2019-07-29 05:00:00,0,21.127,93.3,0,7,29,0,0.965925826,0.258819045
2019-07-29 06:00:00,0,21.25416667,92.41666667,0,7,29,0,1,6.12E-17
2019-07-29 07:00:00,0,21.73166667,91.15,0,7,29,0,0.965925826,-0.258819045
2019-07-29 08:00:00,0,23.08066667,88.2,0,7,29,0,0.866025404,-0.5
2019-07-29 09:00:00,0,24.29933333,83.16666667,0,7,29,0,0.707106781,-0.707106781
2019-07-29 10:00:00,0,26.10683333,78.98333333,0,7,29,0,0.5,-0.866025404
2019-07-29 11:00:00,0,27.29733333,73.71666667,0,7,29,0,0.258819045,-0.965925826
2019-07-29 12:00:00,0,28.2215,70.21666667,0,7,29,0,1.22E-16,-1
2019-07-29 13:00:00,0,29.518,67.76666667,0,7,29,0,-0.258819045,-0.965925826
2019-07-29 14:00:00,0,29.14066667,66.31666667,0,7,29,0,-0.5,-0.866025404
2019-07-29 15:00:00,0,29.5445,65.96666667,0,7,29,0,-0.707106781,-0.707106781
2019-07-29 16:00:00,0,28.713,67.81666667,0,7,29,0,-0.866025404,-0.5
2019-07-29 17:00:00,0,27.90783333,70.98333333,0,7,29,0,-0.965925826,-0.258819045
2019-07-29 18:00:00,0,25.96,78.03333333,0,7,29,0,-1,-1.84E-16
2019-07-29 19:00:00,0,25.42033333,79.65,0,7,29,0,-0.965925826,0.258819045
2019-07-29 20:00:00,0,24.36783333,81.53333333,0,7,29,0,-0.866025404,0.5
2019-07-29 21:00:00,0,23.2085,83.91666667,0,7,29,0,-0.707106781,0.707106781
2019-07-29 22:00:00,0,22.16983333,85.53333333,0,7,29,0,-0.5,0.866025404
2019-07-29 23:00:00,0,21.56833333,87.81666667,0,7,29,0,-0.258819045,0.965925826
2019-07-30 00:00:00,0,20.9365,90.5,0,7,30,1,0,1
2019-07-30 01:00:00,0,20.48383333,91.98333333,0,7,30,1,0.258819045,0.965925826
2019-07-30 02:00:00,0,20.28133333,93.08333333,0,7,30,1,0.5,0.866025404
2019-07-30 03:00:00,0,20.2735,93.3,0,7,30,1,0.707106781,0.707106781
2019-07-30 04:00:00,0,20.59883333,93.03333333,0,7,30,1,0.866025404,0.5
2019-07-30 05:00:00,0,20.6185,93.16666667,0,7,30,1,0.965925826,0.258819045
2019-07-30 06:00:00,0,20.67433333,93.6,0,7,30,1,1,6.12E-17
2019-07-30 07:00:00,0,20.96433333,93.26666667,0,7,30,1,0.965925826,-0.258819045
2019-07-30 08:00:00,0,21.61633333,92.73333333,0,7,30,1,0.866025404,-0.5
2019-07-30 09:00:00,0,22.83616667,89.71666667,0,7,30,1,0.707106781,-0.707106781
2019-07-30 10:00:00,0,23.88983333,86.06666667,0,7,30,1,0.5,-0.866025404
2019-07-30 11:00:00,0,25.3525,82.2,0,7,30,1,0.258819045,-0.965925826
2019-07-30 12:00:00,0,26.929,77.23333333,0,7,30,1,1.22E-16,-1
2019-07-30 13:00:00,0,27.7725,73.63333333,0,7,30,1,-0.258819045,-0.965925826
2019-07-30 14:00:00,0,27.34133333,73.61666667,0,7,30,1,-0.5,-0.866025404
2019-07-30 15:00:00,0,27.14483333,74.18333333,0,7,30,1,-0.707106781,-0.707106781
2019-07-30 16:00:00,0,26.84266667,74.96666667,0,7,30,1,-0.866025404,-0.5
2019-07-30 17:00:00,0,26.00016667,77.26666667,0,7,30,1,-0.965925826,-0.258819045
2019-07-30 18:00:00,0,24.738,83.4,0,7,30,1,-1,-1.84E-16
2019-07-30 19:00:00,0,24.018,84.58333333,0,7,30,1,-0.965925826,0.258819045
2019-07-30 20:00:00,0,23.168,87.21666667,0,7,30,1,-0.866025404,0.5
2019-07-30 21:00:00,0,22.3855,89.35,0,7,30,1,-0.707106781,0.707106781
2019-07-30 22:00:00,0,21.724,91.16666667,0,7,30,1,-0.5,0.866025404
2019-07-30 23:00:00,0,21.668,92.23333333,0,7,30,1,-0.258819045,0.965925826
2019-07-31 00:00:00,0,21.41766667,92.76666667,0,7,31,2,0,1
2019-07-31 01:00:00,0,21.41333333,93.48333333,0,7,31,2,0.258819045,0.965925826
2019-07-31 02:00:00,0,21.481,93.75,0,7,31,2,0.5,0.866025404
2019-07-31 03:00:00,0,21.4095,93.71666667,0,7,31,2,0.707106781,0.707106781
2019-07-31 04:00:00,0,21.47316667,93.71666667,0,7,31,2,0.866025404,0.5
2019-07-31 05:00:00,0,21.33783333,93.28333333,0,7,31,2,0.965925826,0.258819045
2019-07-31 06:00:00,0,21.461,92.86666667,0,7,31,2,1,6.12E-17
