tiempo,energia_activa,prediction
2019-11-09 18:00:00,1285.2,1391.8566
2019-11-09 19:00:00,1192.8,1174.2407
2019-11-09 20:00:00,1092.0,1057.533
2019-11-09 21:00:00,1016.4,956.2257
2019-11-09 22:00:00,987.0,875.2122
2019-11-09 23:00:00,966.0,844.4625
2019-11-10 00:00:00,949.2,1041.4918
2019-11-10 01:00:00,924.00006,1010.32275
2019-11-10 02:00:00,919.8,996.6723
2019-11-10 03:00:00,903.0,986.9719
2019-11-10 04:00:00,903.0,955.4909
2019-11-10 05:00:00,898.8,948.63794
2019-11-10 06:00:00,831.6,940.51483
2019-11-10 07:00:00,861.0,881.3459
2019-11-10 08:00:00,1066.8,911.0429
2019-11-10 09:00:00,1121.4,1092.8579
2019-11-10 10:00:00,1188.6,1137.9834
2019-11-10 11:00:00,1314.6,1198.3649
2019-11-10 12:00:00,1440.6001,1299.3263
2019-11-10 13:00:00,1499.3999,1409.6733
2019-11-10 14:00:00,1524.6,1435.1301
2019-11-10 15:00:00,1419.6,1442.948
2019-11-10 16:00:00,1230.6,1328.328
2019-11-10 17:00:00,987.0,1126.151
2019-11-10 18:00:00,961.80005,896.28156
2019-11-10 19:00:00,945.0,849.2455
2019-11-10 20:00:00,898.8,807.131
2019-11-10 21:00:00,890.4,753.65875
2019-11-10 22:00:00,869.4,737.9277
2019-11-10 23:00:00,861.0,716.20734
2019-11-11 00:00:00,848.39996,1030.0122
2019-11-11 01:00:00,840.0,1002.35254
2019-11-11 02:00:00,840.0,981.5719
2019-11-11 03:00:00,831.6,966.81525
2019-11-11 04:00:00,827.4,944.83746
2019-11-11 05:00:00,844.19995,928.74384
2019-11-11 06:00:00,861.0,935.25354
2019-11-11 07:00:00,1785.0,946.5032
2019-11-11 08:00:00,2881.2002,1847.1396
2019-11-11 09:00:00,3557.4,2891.0056
2019-11-11 10:00:00,3843.0,3555.2627
2019-11-11 11:00:00,4023.5999,3819.4917
2019-11-11 12:00:00,4149.6,3968.2124
2019-11-11 13:00:00,4086.5999,4071.0547
2019-11-11 14:00:00,4132.8,3993.3833
2019-11-11 15:00:00,4023.5999,4016.373
2019-11-11 16:00:00,3477.6,3883.3623
2019-11-11 17:00:00,2448.5999,3315.9915
2019-11-11 18:00:00,1688.3999,2302.9941
2019-11-11 19:00:00,1365.0,1560.6605
2019-11-11 20:00:00,1134.0,1231.1671
2019-11-11 21:00:00,1003.80005,1006.0058
2019-11-11 22:00:00,928.2,880.203
2019-11-11 23:00:00,898.8,800.2569
2019-11-12 00:00:00,865.2,1073.7784
2019-11-12 01:00:00,856.8,1026.371
2019-11-12 02:00:00,844.19995,1003.3956
2019-11-12 03:00:00,844.19995,979.91614
2019-11-12 04:00:00,844.19995,968.4247
2019-11-12 05:00:00,831.6,954.96625
2019-11-12 06:00:00,873.6,930.9047
2019-11-12 07:00:00,1772.3999,969.7087
2019-11-12 08:00:00,2751.0,1829.3784
2019-11-12 09:00:00,3280.2,2786.245
2019-11-12 10:00:00,3645.5999,3294.979
2019-11-12 11:00:00,3880.8,3632.5652
2019-11-12 12:00:00,4095.0,3845.095
2019-11-12 13:00:00,3880.8,4012.519
2019-11-12 14:00:00,3809.4,3767.377
2019-11-12 15:00:00,3742.2002,3684.118
2019-11-12 16:00:00,3175.2,3581.0764
2019-11-12 17:00:00,2259.5999,2995.3762
2019-11-12 18:00:00,1604.4,2103.549
2019-11-12 19:00:00,1360.8,1475.1418
2019-11-12 20:00:00,1134.0,1231.4755
2019-11-12 21:00:00,974.4,1014.1546
2019-11-12 22:00:00,919.8,860.52136
2019-11-12 23:00:00,890.4,797.69495
2019-11-13 00:00:00,861.0,1080.4729
2019-11-13 01:00:00,848.39996,1037.2747
2019-11-13 02:00:00,844.19995,1008.21466
2019-11-13 03:00:00,835.8,991.1821
2019-11-13 04:00:00,840.0,968.33655
2019-11-13 05:00:00,835.8,959.0827
2019-11-13 06:00:00,877.8,949.8874
2019-11-13 07:00:00,1764.0,988.36365
2019-11-13 08:00:00,2772.0,1836.7981
2019-11-13 09:00:00,3192.0,2820.2864
2019-11-13 10:00:00,3607.8,3203.431
2019-11-13 11:00:00,3670.8,3588.5786
2019-11-13 12:00:00,3759.0,3624.6982
2019-11-13 13:00:00,3691.8,3672.3257
2019-11-13 14:00:00,3553.2,3595.7673
2019-11-13 15:00:00,3473.4001,3427.2078
2019-11-13 16:00:00,3061.7998,3310.01
2019-11-13 17:00:00,2364.5999,2884.1396
2019-11-13 18:00:00,1663.2,2212.33
2019-11-13 19:00:00,1402.8,1548.0684
2019-11-13 20:00:00,1146.6,1283.0957
2019-11-13 21:00:00,1037.4,1033.8232
2019-11-13 22:00:00,961.80005,923.0896
2019-11-13 23:00:00,949.2,844.76904
2019-11-14 00:00:00,924.00006,1137.856
2019-11-14 01:00:00,898.8,1093.9537
2019-11-14 02:00:00,882.0,1059.0962
2019-11-14 03:00:00,877.8,1030.6119
2019-11-14 04:00:00,877.8,1016.6962
2019-11-14 05:00:00,869.4,1004.5541
