tiempo,energia_activa,prediction
2019-11-10,25410.0,24415.436
2019-11-11,51319.8,49506.19
2019-11-12,49135.8,49068.55
2019-11-13,48014.4,48280.805
2019-11-14,49946.4,49248.652
2019-11-15,46284.0,44578.81
2019-11-16,26384.4,26712.348
2019-11-17,20638.799,22151.484
2019-11-18,49492.8,50114.777
2019-11-19,50542.8,51588.895
2019-11-20,50794.8,50445.438
2019-11-21,48052.2,47363.43
2019-11-22,43860.6,42047.816
2019-11-23,27174.0,26136.902
2019-11-24,21138.6,19809.28
2019-11-25,44956.8,43385.535
2019-11-26,45750.598,45645.758
2019-11-27,46947.6,47068.03
2019-11-28,46019.4,46007.1
2019-11-29,49807.8,46663.305
2019-11-30,27795.598,26204.68
2019-12-01,18219.6,16114.801
2019-12-02,41168.4,39931.17
2019-12-03,48085.8,45284.555
2019-12-04,52176.6,47821.145
2019-12-05,52415.996,48356.203
2019-12-06,45952.2,42248.902
2019-12-07,27913.2,26149.77
2019-12-08,12717.6,13048.429
2019-12-09,46443.598,43149.93
2019-12-10,52386.598,49584.28
2019-12-11,48552.0,45410.516
2019-12-12,49333.2,46573.074
2019-12-13,47153.4,44556.445
2019-12-14,29429.398,27398.717
2019-12-15,21537.6,19492.672
2019-12-16,52113.6,48216.164
2019-12-17,51786.0,49338.8
2019-12-18,52184.996,50459.812
2019-12-19,55259.4,53821.125
2019-12-20,45876.6,44827.19
2019-12-21,25090.8,25352.459
2019-12-22,16077.6,15393.663
2019-12-23,39614.4,39794.445
2019-12-24,26712.0,34376.832
2019-12-25,20718.6,28283.521
2019-12-26,36430.8,38047.64
2019-12-27,35502.598,36066.848
2019-12-28,23398.2,22936.918
2019-12-29,17278.8,16494.16
2019-12-30,20941.201,29504.312
2019-12-31,20378.4,28592.65
2020-01-01,19000.8,30273.746
2020-01-02,49749.0,50409.234
2020-01-03,45553.2,45909.938
2020-01-04,33591.598,30945.422
2020-01-05,20529.6,20999.385
2020-01-06,54213.598,51304.23
2020-01-07,50227.8,51558.176
2020-01-08,53251.797,51815.535
2020-01-09,54301.797,53654.18
2020-01-10,53549.996,50554.42
2020-01-11,34427.4,31231.443
2020-01-12,21365.398,21409.096
2020-01-13,56586.598,52856.93
2020-01-14,56796.6,56209.773
2020-01-15,54717.6,53170.516
2020-01-16,54264.0,53345.453
2020-01-17,50677.2,50097.715
2020-01-18,32415.598,32253.414
2020-01-19,25897.2,26425.943
2020-01-20,59753.4,56917.445
2020-01-21,52248.0,51447.723
2020-01-22,54087.598,53707.79
2020-01-23,51500.4,50879.04
2020-01-24,48001.8,48097.832
2020-01-25,28853.998,27750.15
2020-01-26,22764.0,22753.05
2020-01-27,51647.4,49354.973
2020-01-28,48648.6,48867.492
2020-01-29,47027.4,49326.273
2020-01-30,50744.402,50467.098
2020-01-31,49463.4,48329.816
2020-02-01,28324.799,25392.385
2020-02-02,21936.6,20721.525
2020-02-03,51811.2,50668.15
2020-02-04,49665.0,49825.234
2020-02-05,47586.0,49004.09
2020-02-06,48169.8,48976.344
2020-02-07,42924.0,42609.89
2020-02-08,31537.8,27041.137
2020-02-09,22810.2,20595.854
2020-02-10,47770.8,45957.277
2020-02-11,47632.2,47534.95
2020-02-12,45670.8,45720.336
2020-02-13,46750.2,45774.348
2020-02-14,43570.8,43551.84
2020-02-15,24540.602,23341.344
2020-02-16,21138.6,20696.4
2020-02-17,42966.0,44942.88
2020-02-18,43650.6,47086.81
2020-02-19,43285.2,44825.016
2020-02-20,42344.402,43958.06
2020-02-21,38308.2,40162.938
2020-02-22,21239.4,22747.38
2020-02-23,17967.6,19107.83
2020-02-24,18475.799,26750.94
2020-02-25,18564.0,26529.898
2020-02-26,23205.0,29808.84
2020-02-27,22671.6,28822.463
2020-02-28,22163.4,27351.76
2020-02-29,15758.4,16934.832
2020-03-01,17400.6,15528.735
2020-03-02,37464.0,38272.21
2020-03-03,39207.0,42064.195
2020-03-04,39660.6,41164.285
2020-03-05,39593.402,40749.523
2020-03-06,36372.0,35903.13
2020-03-07,26010.598,23078.467
