tiempo,energia_activa,prediction
2019-11-09 18:00:00,1285.2,1379.1041
2019-11-09 19:00:00,1192.8,1163.7302
2019-11-09 20:00:00,1092.0,1049.2106
2019-11-09 21:00:00,1016.4,947.9741
2019-11-09 22:00:00,987.0,866.94354
2019-11-09 23:00:00,966.0,835.28156
2019-11-10 00:00:00,949.2,1030.6208
2019-11-10 01:00:00,924.00006,999.77014
2019-11-10 02:00:00,919.8,985.9662
2019-11-10 03:00:00,903.0,977.2114
2019-11-10 04:00:00,903.0,947.72876
2019-11-10 05:00:00,898.8,941.3559
2019-11-10 06:00:00,831.6,933.59717
2019-11-10 07:00:00,861.0,875.8607
2019-11-10 08:00:00,1066.8,904.8197
2019-11-10 09:00:00,1121.4,1082.706
2019-11-10 10:00:00,1188.6,1127.3705
2019-11-10 11:00:00,1314.6,1186.3663
2019-11-10 12:00:00,1440.6001,1285.5027
2019-11-10 13:00:00,1499.3999,1393.2148
2019-11-10 14:00:00,1524.6,1419.3895
2019-11-10 15:00:00,1419.6,1428.0453
2019-11-10 16:00:00,1230.6,1316.1471
2019-11-10 17:00:00,987.0,1118.8293
2019-11-10 18:00:00,961.80005,893.7068
2019-11-10 19:00:00,945.0,848.4213
2019-11-10 20:00:00,898.8,808.11145
2019-11-10 21:00:00,890.4,755.6197
2019-11-10 22:00:00,869.4,739.65906
2019-11-10 23:00:00,861.0,717.4211
2019-11-11 00:00:00,848.39996,1034.0476
2019-11-11 01:00:00,840.0,1006.6885
2019-11-11 02:00:00,840.0,985.9625
2019-11-11 03:00:00,831.6,971.37006
2019-11-11 04:00:00,827.4,949.7608
2019-11-11 05:00:00,844.19995,933.6953
2019-11-11 06:00:00,861.0,939.62286
2019-11-11 07:00:00,1785.0,950.0748
2019-11-11 08:00:00,2881.2002,1839.9752
2019-11-11 09:00:00,3557.4,2886.3718
2019-11-11 10:00:00,3843.0,3558.564
2019-11-11 11:00:00,4023.5999,3828.6055
2019-11-11 12:00:00,4149.6,3981.4377
2019-11-11 13:00:00,4086.5999,4088.5408
2019-11-11 14:00:00,4132.8,4012.7634
2019-11-11 15:00:00,4023.5999,4038.8872
2019-11-11 16:00:00,3477.6,3905.9321
2019-11-11 17:00:00,2448.5999,3329.2712
2019-11-11 18:00:00,1688.3999,2301.7112
2019-11-11 19:00:00,1365.0,1554.5703
2019-11-11 20:00:00,1134.0,1225.3822
2019-11-11 21:00:00,1003.80005,1000.2065
2019-11-11 22:00:00,928.2,873.6547
2019-11-11 23:00:00,898.8,793.12286
2019-11-12 00:00:00,865.2,1078.8242
2019-11-12 01:00:00,856.8,1031.8264
2019-11-12 02:00:00,844.19995,1008.671
2019-11-12 03:00:00,844.19995,984.72626
2019-11-12 04:00:00,844.19995,972.6137
2019-11-12 05:00:00,831.6,958.57275
2019-11-12 06:00:00,873.6,933.96124
2019-11-12 07:00:00,1772.3999,970.67065
2019-11-12 08:00:00,2751.0,1822.8389
2019-11-12 09:00:00,3280.2,2784.626
2019-11-12 10:00:00,3645.5999,3300.4263
2019-11-12 11:00:00,3880.8,3644.092
2019-11-12 12:00:00,4095.0,3861.6177
2019-11-12 13:00:00,3880.8,4032.6963
2019-11-12 14:00:00,3809.4,3784.6416
2019-11-12 15:00:00,3742.2002,3702.2026
2019-11-12 16:00:00,3175.2,3597.9316
2019-11-12 17:00:00,2259.5999,3001.3005
2019-11-12 18:00:00,1604.4,2096.3599
2019-11-12 19:00:00,1360.8,1462.6248
2019-11-12 20:00:00,1134.0,1217.8761
2019-11-12 21:00:00,974.4,999.53064
2019-11-12 22:00:00,919.8,844.77734
2019-11-12 23:00:00,890.4,780.7478
2019-11-13 00:00:00,861.0,1084.5541
2019-11-13 01:00:00,848.39996,1042.031
2019-11-13 02:00:00,844.19995,1013.4505
2019-11-13 03:00:00,835.8,996.351
2019-11-13 04:00:00,840.0,973.7304
2019-11-13 05:00:00,835.8,964.1421
2019-11-13 06:00:00,877.8,953.9459
2019-11-13 07:00:00,1764.0,991.0393
2019-11-13 08:00:00,2772.0,1833.6819
2019-11-13 09:00:00,3192.0,2824.2673
2019-11-13 10:00:00,3607.8,3213.9565
2019-11-13 11:00:00,3670.8,3606.6545
2019-11-13 12:00:00,3759.0,3645.5889
2019-11-13 13:00:00,3691.8,3695.3223
2019-11-13 14:00:00,3553.2,3619.9272
2019-11-13 15:00:00,3473.4001,3449.8118
2019-11-13 16:00:00,3061.7998,3331.3667
2019-11-13 17:00:00,2364.5999,2898.1235
2019-11-13 18:00:00,1663.2,2215.829
2019-11-13 19:00:00,1402.8,1544.2452
2019-11-13 20:00:00,1146.6,1277.8289
2019-11-13 21:00:00,1037.4,1027.3958
2019-11-13 22:00:00,961.80005,915.45935
2019-11-13 23:00:00,949.2,835.808
2019-11-14 00:00:00,924.00006,1137.3623
2019-11-14 01:00:00,898.8,1094.5264
2019-11-14 02:00:00,882.0,1060.0504
2019-11-14 03:00:00,877.8,1031.7389
2019-11-14 04:00:00,877.8,1017.6561
2019-11-14 05:00:00,869.4,1005.4445
2019-11-14 06:00:00,877.8,988.1394
2019-11-14 07:00:00,1793.4,985.14813
2019-11-14 08:00:00,2776.2002,1868.0007
2019-11-14 09:00:00,3452.4,2804.4116
2019-11-14 10:00:00,3733.8,3475.1636
2019-11-14 11:00:00,3817.7998,3715.078
2019-11-14 12:00:00,3704.4,3782.116
2019-11-14 13:00:00,3805.2,3643.8525
2019-11-14 14:00:00,3935.4,3714.3188
2019-11-14 15:00:00,3868.2,3818.84
2019-11-14 16:00:00,3339.0,3716.724
2019-11-14 17:00:00,2343.6,3182.3848
2019-11-14 18:00:00,1696.7999,2192.7869
2019-11-14 19:00:00,1369.2,1552.8679
2019-11-14 20:00:00,1180.2001,1237.8424
2019-11-14 21:00:00,1045.7999,1055.3121
2019-11-14 22:00:00,957.6,922.37946
2019-11-14 23:00:00,919.8,829.31036
2019-11-15 00:00:00,877.8,1107.1873
2019-11-15 01:00:00,861.0,1050.663
2019-11-15 02:00:00,856.8,1020.1719
2019-11-15 03:00:00,848.39996,1003.686
2019-11-15 04:00:00,852.60004,980.7062
2019-11-15 05:00:00,848.39996,973.1116
2019-11-15 06:00:00,835.8,959.33514
2019-11-15 07:00:00,1629.6001,950.119
2019-11-15 08:00:00,2759.4001,1707.2311
2019-11-15 09:00:00,3217.2,2797.0913
2019-11-15 10:00:00,3519.6,3243.5574
2019-11-15 11:00:00,3498.5999,3509.2441
2019-11-15 12:00:00,3536.4,3475.1953
2019-11-15 13:00:00,3448.2,3480.7837
2019-11-15 14:00:00,3465.0,3379.1204
2019-11-15 15:00:00,3460.8,3385.386
2019-11-15 16:00:00,2965.2,3344.9092
2019-11-15 17:00:00,2024.4,2830.7698
2019-11-15 18:00:00,1533.0,1891.3057
2019-11-15 19:00:00,1297.8,1407.373
2019-11-15 20:00:00,1134.0,1175.6521
2019-11-15 21:00:00,1020.6,1011.2811
2019-11-15 22:00:00,919.8,892.802
2019-11-15 23:00:00,873.6,792.0637
2019-11-16 00:00:00,852.60004,997.17004
2019-11-16 01:00:00,844.19995,970.0407
2019-11-16 02:00:00,840.0,955.393
2019-11-16 03:00:00,823.2,939.56635
2019-11-16 04:00:00,823.2,915.92487
2019-11-16 05:00:00,819.0,908.0074
2019-11-16 06:00:00,756.0,897.96967
2019-11-16 07:00:00,970.2,847.27704
2019-11-16 08:00:00,1394.3999,1037.2136
2019-11-16 09:00:00,1621.2001,1419.8982
2019-11-16 10:00:00,1743.0,1602.4557
2019-11-16 11:00:00,1747.2,1702.7324
2019-11-16 12:00:00,1650.6,1690.8588
2019-11-16 13:00:00,1474.2,1586.1372
2019-11-16 14:00:00,1310.3999,1418.9882
2019-11-16 15:00:00,1255.7999,1268.572
2019-11-16 16:00:00,1108.8,1192.3092
2019-11-16 17:00:00,936.60004,1036.3159
2019-11-16 18:00:00,936.60004,877.3298
2019-11-16 19:00:00,936.60004,864.9524
2019-11-16 20:00:00,907.2,844.3322
2019-11-16 21:00:00,890.4,807.4944
2019-11-16 22:00:00,882.0,782.63025
2019-11-16 23:00:00,861.0,765.1003
2019-11-17 00:00:00,844.19995,960.34143
2019-11-17 01:00:00,823.2,934.9151
2019-11-17 02:00:00,810.60004,904.6329
2019-11-17 03:00:00,806.39996,882.61145
2019-11-17 04:00:00,810.60004,867.4048
2019-11-17 05:00:00,793.8,867.5415
2019-11-17 06:00:00,726.6,849.66925
2019-11-17 07:00:00,722.39996,810.0582
2019-11-17 08:00:00,793.8,793.342
2019-11-17 09:00:00,856.8,851.9558
2019-11-17 10:00:00,869.4,906.21674
2019-11-17 11:00:00,919.8,894.46893
2019-11-17 12:00:00,919.8,927.9501
2019-11-17 13:00:00,940.8,916.7787
2019-11-17 14:00:00,936.60004,917.1519
2019-11-17 15:00:00,919.8,905.6912
2019-11-17 16:00:00,894.60004,885.71857
2019-11-17 17:00:00,856.8,836.14856
2019-11-17 18:00:00,898.8,792.0016
2019-11-17 19:00:00,940.8,825.48596
2019-11-17 20:00:00,932.4,834.3889
2019-11-17 21:00:00,898.8,816.0554
2019-11-17 22:00:00,873.6,777.603
2019-11-17 23:00:00,848.39996,745.26465
2019-11-18 00:00:00,840.0,1043.0355
2019-11-18 01:00:00,827.4,1026.75
2019-11-18 02:00:00,823.2,999.684
2019-11-18 03:00:00,823.2,983.55475
2019-11-18 04:00:00,814.80005,969.94073
2019-11-18 05:00:00,814.80005,946.74866
2019-11-18 06:00:00,814.80005,937.28186
2019-11-18 07:00:00,1768.2,936.02075
2019-11-18 08:00:00,2944.2,1831.7876
2019-11-18 09:00:00,3565.8,2980.5588
2019-11-18 10:00:00,3935.4,3554.1018
2019-11-18 11:00:00,3893.4001,3901.5142
2019-11-18 12:00:00,3809.4,3830.2307
2019-11-18 13:00:00,3725.4,3728.7444
2019-11-18 14:00:00,3792.6,3624.8638
2019-11-18 15:00:00,3599.4,3676.0168
2019-11-18 16:00:00,3212.9998,3442.888
2019-11-18 17:00:00,2461.2,3038.2783
2019-11-18 18:00:00,1642.2,2297.5706
2019-11-18 19:00:00,1381.8,1511.9183
2019-11-18 20:00:00,1167.6,1248.4092
2019-11-18 21:00:00,1024.8,1032.3406
2019-11-18 22:00:00,924.00006,892.2491
2019-11-18 23:00:00,886.19995,791.7139
2019-11-19 00:00:00,873.6,1083.0555
2019-11-19 01:00:00,865.2,1063.9974
2019-11-19 02:00:00,852.60004,1040.0818
2019-11-19 03:00:00,848.39996,1016.1569
2019-11-19 04:00:00,844.19995,1002.1277
2019-11-19 05:00:00,835.8,977.706
2019-11-19 06:00:00,810.60004,961.0388
2019-11-19 07:00:00,1801.7999,934.1476
2019-11-19 08:00:00,2990.4001,1890.3867
2019-11-19 09:00:00,3574.2,3031.965
2019-11-19 10:00:00,3939.6,3578.14
2019-11-19 11:00:00,3906.0,3927.11
2019-11-19 12:00:00,3855.6,3862.939
2019-11-19 13:00:00,3582.6,3804.3765
2019-11-19 14:00:00,3784.2,3495.3665
2019-11-19 15:00:00,3691.8,3675.9338
2019-11-19 16:00:00,3469.2002,3552.4102
2019-11-19 17:00:00,2511.5999,3315.9536
2019-11-19 18:00:00,1881.6,2365.6282
2019-11-19 19:00:00,1478.4,1744.89
2019-11-19 20:00:00,1197.0,1349.6283
2019-11-19 21:00:00,1050.0,1077.4502
2019-11-19 22:00:00,966.0,931.4621
2019-11-19 23:00:00,932.4,839.78345
2019-11-20 00:00:00,915.6,1152.4796
2019-11-20 01:00:00,915.6,1123.6022
2019-11-20 02:00:00,890.4,1115.6234
2019-11-20 03:00:00,886.19995,1079.0074
2019-11-20 04:00:00,886.19995,1065.927
2019-11-20 05:00:00,869.4,1055.4999
2019-11-20 06:00:00,886.19995,1028.1027
2019-11-20 07:00:00,1789.2001,1042.7664
2019-11-20 08:00:00,2877.0,1900.2524
2019-11-20 09:00:00,3406.2,2970.1975
2019-11-20 10:00:00,3822.0,3474.675
2019-11-20 11:00:00,3931.2,3860.8
2019-11-20 12:00:00,4120.2,3936.49
2019-11-20 13:00:00,3981.5999,4104.8003
2019-11-20 14:00:00,4061.4001,3928.5361
2019-11-20 15:00:00,3885.0,3992.15
2019-11-20 16:00:00,3301.2,3783.9548
