N;Fecha Tiempo;TempCelcius ;HR;Lluviamm;Dirdelviento;Veldelviento_m/s;Velderafagas_m/s
1;03/23/17 10:21:40 AM;30.672;71.4;0;130.6;1.26;1.76
2;03/23/17 10:31:40 AM;31.001;72;0;161.5;0.76;3.02
3;03/23/17 10:41:40 AM;31.331;70.8;0;175.5;0.5;2.01
4;03/23/17 10:51:40 AM;31.816;70.6;0;203.6;0.76;2.52
5;03/23/17 11:01:40 AM;32.639;70.3;0;193.7;0.25;2.01
6;03/23/17 11:11:40 AM;31.586;68.9;0;185.3;0.5;2.52
7;03/23/17 11:21:40 AM;31.816;69.1;0;183.9;0.76;2.77
8;03/23/17 11:31:40 AM;32.253;70;0;175.5;0.76;2.52
9;03/23/17 11:41:40 AM;31.331;70;0;172.7;1.01;3.27
10;03/23/17 11:51:40 AM;30.672;74;0;164.3;1.26;3.53
11;03/23/17 12:01:40 PM;31.077;73.6;0;199.4;1.51;5.04
12;03/23/17 12:11:40 PM;31.331;72.1;0;193.7;1.51;4.28
13;03/23/17 12:21:40 PM;30.596;74;0;186.7;1.76;5.54
14;03/23/17 12:31:40 PM;30.9;75.7;0;193.7;1.76;6.04
15;03/23/17 12:41:40 PM;30.798;75.1;0;205;2.27;5.29
16;03/23/17 12:51:40 PM;30.748;74.5;0;172.7;1.76;5.79
17;03/23/17 01:01:40 PM;30.849;74;0;206.4;2.27;6.55
18;03/23/17 01:11:40 PM;30.293;73.7;0;205;2.52;8.56
19;03/23/17 01:21:40 PM;30.976;73.2;0;193.7;2.52;6.3
20;03/23/17 01:31:40 PM;31.026;72.1;0;172.7;2.27;6.3
21;03/23/17 01:41:40 PM;31.179;71.1;0;202.2;2.01;6.8
22;03/23/17 01:51:40 PM;31.23;70.5;0;188.1;2.27;7.05
23;03/23/17 02:01:40 PM;31.306;70.2;0;183.9;2.01;5.79
24;03/23/17 02:11:40 PM;30.596;70.2;0;203.6;2.27;5.79
25;03/23/17 02:21:40 PM;31.331;70.4;0;192.3;2.01;5.79
26;03/23/17 02:31:40 PM;31.561;70;0;195.1;2.01;6.3
27;03/23/17 02:41:40 PM;31.637;69.9;0;189.5;2.01;5.79
28;03/23/17 02:51:40 PM;31.816;69.4;0;192.3;1.51;5.29
29;03/23/17 03:01:40 PM;31.996;70;0;162.9;1.51;4.78
30;03/23/17 03:11:40 PM;32.51;69.9;0;137.6;1.01;3.27
31;03/23/17 03:21:40 PM;32.381;69.2;0;196.5;1.51;4.28
32;03/23/17 03:31:40 PM;32.433;69.6;0;205;1.01;3.53
33;03/23/17 03:41:40 PM;32.458;69.7;0;171.3;1.26;4.28
